"id_stud","code_mode.x","code_pres.x","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","code_mode.y","code_pres.y","date_reg","date_unregistration","sum_click"
6516,"AAA","2014J","M","Scotland","HE Qualification","80-90%","55<=",0,60,"N","Pass","AAA","2014J","-52","?",2791
11391,"AAA","2013J","M","East Anglian Region","HE Qualification","90-100%","55<=",0,240,"N","Pass","AAA","2013J","-159","?",934
23629,"BBB","2013B","F","East Anglian Region","Lower Than A Level","20-30%","0-35",2,60,"N","Fail","BBB","2013B","-47","?",161
23698,"CCC","2014J","F","East Anglian Region","A Level or Equivalent","50-60%","0-35",0,120,"N","Pass","CCC","2014J","-110","?",910
23798,"BBB","2013J","M","Wales","A Level or Equivalent","50-60%","0-35",0,60,"N","Distinction","BBB","2013J","-27","?",590
24186,"GGG","2014B","F","Yorkshire Region","Lower Than A Level","20-Oct","0-35",0,30,"Y","Pass","GGG","2014B","-25","?",184
24213,"DDD","2014B","F","East Anglian Region","A Level or Equivalent","40-50%","0-35",1,60,"N","Pass","DDD","2014B","-54","?",1992
24213,"DDD","2014B","F","East Anglian Region","A Level or Equivalent","40-50%","0-35",1,60,"N","Pass","DDD","2013B","-128","-46",1992
24391,"GGG","2013J","M","East Midlands Region","A Level or Equivalent","80-90%","0-35",0,30,"N","Distinction","GGG","2013J","-64","?",712
24734,"AAA","2014J","F","South Region","Lower Than A Level","60-70%","0-35",0,60,"N","Pass","AAA","2014J","-18","?",499
25107,"BBB","2013B","F","East Anglian Region","Lower Than A Level","20-30%","0-35",0,120,"N","Pass","BBB","2013B","-73","?",2562
25150,"EEE","2014B","M","North Western Region","HE Qualification","90-100%","0-35",0,60,"N","Pass","EEE","2014B","-47","?",2103
26023,"GGG","2013J","M","North Western Region","Lower Than A Level","20-Oct","35-55",0,30,"N","Pass","GGG","2013J","-37","?",786
26192,"AAA","2014J","F","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Distinction","AAA","2014J","-38","?",2223
26211,"FFF","2014B","F","London Region","HE Qualification","20-30%","35-55",0,90,"N","Pass","FFF","2014B","-25","?",15205
26247,"FFF","2013J","M","South East Region","HE Qualification","80-90%","35-55",2,60,"N","Fail","FFF","2013J","-47","?",478
26315,"BBB","2014J","F","East Anglian Region","Lower Than A Level","60-70%","35-55",1,60,"N","Pass","BBB","2014J","-92","?",2451
26734,"BBB","2014J","M","South West Region","A Level or Equivalent","20-30%","0-35",0,90,"Y","Fail","BBB","2014J","-101","?",210
26915,"EEE","2013J","M","Wales","Lower Than A Level","0-10%","35-55",0,30,"N","Fail","EEE","2013J","-61","?",61
27116,"CCC","2014J","M","Yorkshire Region","HE Qualification","70-80%","0-35",0,120,"N","Distinction","CCC","2014J","-156","?",1847
27189,"FFF","2014B","F","South Region","Lower Than A Level","20-Oct","35-55",0,120,"N","Fail","FFF","2014B","-65","?",2638
27683,"FFF","2014B","M","London Region","HE Qualification","30-40%","0-35",0,60,"N","Pass","FFF","2014B","-24","?",2129
27759,"BBB","2013J","M","North Western Region","Lower Than A Level","40-50%","35-55",0,120,"Y","Fail","BBB","2013J","-43","?",366
27780,"EEE","2014B","M","Wales","A Level or Equivalent","20-Oct","0-35",0,150,"N","Pass","EEE","2014B","-23","?",553
27891,"BBB","2014B","M","Scotland","Lower Than A Level","0-10%","0-35",4,120,"Y","Fail","BBB","2014B","-191","?",348
27891,"BBB","2014B","M","Scotland","Lower Than A Level","0-10%","0-35",4,120,"Y","Fail","BBB","2013B","-58","153",348
27935,"DDD","2013J","F","East Anglian Region","Lower Than A Level","30-40%","0-35",0,60,"Y","Fail","DDD","2013J","-134","?",813
28046,"DDD","2013J","F","Yorkshire Region","HE Qualification","20-Oct","35-55",0,70,"N","Fail","DDD","2013J","-190","?",661
28061,"AAA","2014J","M","Yorkshire Region","Lower Than A Level","40-50%","35-55",0,60,"N","Pass","AAA","2014J","-130","?",1590
28400,"AAA","2013J","F","Scotland","HE Qualification","20-30%","35-55",0,60,"N","Pass","AAA","2013J","-53","?",1435
28418,"CCC","2014B","F","West Midlands Region","A Level or Equivalent","20-30%","0-35",0,30,"N","Fail","CCC","2014B","-37","?",328
28770,"EEE","2014J","M","Scotland","Lower Than A Level","20-30%","0-35",0,30,"N","Fail","EEE","2014J","-31","?",NA
28787,"CCC","2014J","M","South East Region","Lower Than A Level","80-90%","35-55",0,60,"N","Pass","CCC","2014J","-29","?",645
28808,"FFF","2014B","F","South Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Fail","FFF","2014B","-120","?",232
28897,"FFF","2014B","M","South West Region","A Level or Equivalent","20-Oct","0-35",0,120,"N","Distinction","FFF","2014B","-136","?",3367
29144,"BBB","2013B","M","South Region","Lower Than A Level","60-70%","0-35",0,120,"N","Fail","BBB","2013B","-24","?",1914
29335,"FFF","2013J","M","West Midlands Region","Lower Than A Level","40-50%","0-35",0,60,"N","Distinction","FFF","2013J","-31","?",8840
29411,"DDD","2013J","M","East Midlands Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass","DDD","2013J","-96","?",1170
29411,"DDD","2013J","M","East Midlands Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass","CCC","2014J","-135","100",1170
29420,"CCC","2014J","M","Wales","A Level or Equivalent","70-80%","0-35",0,30,"N","Pass","CCC","2014J","-14","?",816
29639,"EEE","2014B","M","North Region","Lower Than A Level","?","0-35",0,30,"N","Pass","EEE","2014B","-26","?",10503
29639,"CCC","2014J","M","North Region","Lower Than A Level","?","0-35",0,30,"N","Pass","CCC","2014J","-24","?",10503
29639,"EEE","2014B","M","North Region","Lower Than A Level","?","0-35",0,30,"N","Pass","CCC","2014J","-24","?",10503
29639,"CCC","2014J","M","North Region","Lower Than A Level","?","0-35",0,30,"N","Pass","EEE","2014B","-26","?",10503
29764,"CCC","2014B","M","East Anglian Region","A Level or Equivalent","50-60%","0-35",0,90,"N","Distinction","CCC","2014B","-34","?",2867
29769,"FFF","2013J","M","East Midlands Region","A Level or Equivalent","40-50%","0-35",1,60,"N","Fail","FFF","2013J","-32","?",1608
29820,"CCC","2014B","M","East Anglian Region","HE Qualification","40-50%","0-35",0,60,"N","Pass","EEE","2014B","-57","?",2502
29820,"EEE","2014B","M","East Anglian Region","HE Qualification","40-50%","0-35",0,60,"N","Pass","EEE","2014B","-57","?",2502
29820,"EEE","2014B","M","East Anglian Region","HE Qualification","40-50%","0-35",0,60,"N","Pass","CCC","2014B","-57","?",2502
29820,"CCC","2014B","M","East Anglian Region","HE Qualification","40-50%","0-35",0,60,"N","Pass","CCC","2014B","-57","?",2502
29985,"GGG","2014B","F","South Region","Lower Than A Level","20-30%","0-35",0,30,"N","Pass","GGG","2014B","-93","?",760
30091,"BBB","2013J","F","South West Region","A Level or Equivalent","20-Oct","0-35",0,60,"Y","Pass","BBB","2013J","-145","?",1332
