"code_mode","high_educ","imd_band","age_band","prev_attempts","finRes","logSum_click","logStudy_credits","LMS_group","reduceReg","disabil","Wscal_score"
"AAA","HE Qual","80-90%","55<=",0,"Pass",7.93451346388226,4.11087386417331,"High","Other","N",-0.39
"AAA","HE Qual","90-100%","55<=",0,"Pass",6.84054652928869,5.48479693349065,"Medium","Other","N",0.478
"BBB","Lower","20-30%","0-35",2,"Fail",5.08759633523238,4.11087386417331,"Medium","Other","N",0.55
"CCC","A-Level","50-60%","0-35",0,"Pass",6.81454289725996,4.79579054559674,"Medium","Other","N",0.19
"BBB","A-Level","50-60%","0-35",0,NA,6.3818160174061,4.11087386417331,"Medium","Wales","N",1.046
"GGG","Lower","30-40%","0-35",0,"Pass",5.22035582507832,3.43398720448515,"Medium","Yorkshire Region","Y",-0.3555
"DDD","A-Level","40-50%","0-35",1,"Pass",7.59739632021279,4.11087386417331,"High","Other","N",0.27
"GGG","A-Level","80-90%","0-35",0,NA,6.5694814204143,3.43398720448515,"Medium","Other","N",0.84
"AAA","Lower","60-70%","0-35",0,"Pass",6.21460809842219,4.11087386417331,"Medium","South Region","N",-0.902
"BBB","Lower","20-30%","0-35",0,"Pass",7.84893372636407,4.79579054559674,"High","Other","N",0.32
"EEE","HE Qual","90-100%","0-35",0,"Pass",7.6515955738576,4.11087386417331,"High","North Western Region","N",0.63
"GGG","Lower","30-40%","0-35",0,"Pass",6.6682282484174,3.43398720448515,"Medium","North Western Region","N",0.8
"AAA","A-Level","60-70%","0-35",0,NA,7.70706265537047,4.11087386417331,"High","Other","N",0.72
"FFF","HE Qual","20-30%","0-35",0,"Pass",9.62944536578838,4.51085950651685,"High","London Region","N",0.86
"FFF","HE Qual","80-90%","0-35",2,"Fail",6.17170059741091,4.11087386417331,"Medium","South East Region","N",0.8
"BBB","Lower","60-70%","0-35",1,"Pass",7.8046592970561,4.11087386417331,"High","Other","N",-0.8465
"BBB","A-Level","20-30%","0-35",0,"Fail",5.35185813347607,4.51085950651685,"Medium","South West Region","Y",0.18
"EEE","Lower","0-10%","0-35",0,"Fail",4.12713438504509,3.43398720448515,"Medium","Wales","N",-3.25
"CCC","HE Qual","70-80%","0-35",0,NA,7.52185925220163,4.79579054559674,"High","Yorkshire Region","N",1.05
"FFF","Lower","30-40%","0-35",0,"Fail",7.87815533650332,4.79579054559674,"High","South Region","N",-0.83
"FFF","HE Qual","30-40%","0-35",0,"Pass",7.66387725870347,4.11087386417331,"High","London Region","N",0.53
"BBB","Lower","40-50%","0-35",0,"Fail",5.90536184805457,4.79579054559674,"Medium","North Western Region","Y",0.26
"EEE","A-Level","30-40%","0-35",0,"Pass",6.31716468674728,5.01727983681492,"Medium","Wales","N",-0.47
"BBB","Lower","0-10%","0-35",4,"Fail",5.85507192220243,4.79579054559674,"Medium","Other","Y",-0.05
"DDD","Lower","30-40%","0-35",0,"Fail",6.70196036600254,4.11087386417331,"Medium","Other","Y",0.22
"DDD","HE Qual","30-40%","0-35",0,"Fail",6.49526555593701,4.26267987704132,"Medium","Yorkshire Region","N",-0.95
"AAA","Lower","40-50%","0-35",0,"Pass",7.37211802833779,4.11087386417331,"High","Yorkshire Region","N",0.32
"AAA","HE Qual","20-30%","0-35",0,"Pass",7.26961674960817,4.11087386417331,"High","Other","N",-0.18
"CCC","A-Level","20-30%","0-35",0,"Fail",5.79605775076537,3.43398720448515,"Medium","West Midlands Region","N",-1.77
"EEE","Lower","20-30%","0-35",0,"Fail",0,3.43398720448515,"Low","Other","N",-3.25
"CCC","Lower","80-90%","0-35",0,"Pass",6.4707995037826,4.11087386417331,"Medium","South East Region","N",-0.724
"FFF","A-Level","90-100%","0-35",0,"Fail",5.4510384535657,4.11087386417331,"Medium","South Region","N",-0.02
"FFF","A-Level","30-40%","0-35",0,NA,8.12207437536222,4.79579054559674,"High","South West Region","N",0.576
"BBB","Lower","60-70%","0-35",0,"Fail",7.55747290161475,4.79579054559674,"High","South Region","N",0.13
"FFF","Lower","40-50%","0-35",0,NA,9.0871552714058,4.11087386417331,"High","West Midlands Region","N",0.99
"DDD","A-Level","80-90%","0-35",0,"Pass",7.06561336359772,4.11087386417331,"High","Other","N",-0.51
"CCC","A-Level","70-80%","0-35",0,"Pass",6.70563909486,3.43398720448515,"Medium","Wales","N",0.22
"CCC","Lower","30-40%","0-35",0,"Pass",9.25951141598263,3.43398720448515,"High","North Region","N",0.61
"CCC","A-Level","50-60%","0-35",0,NA,7.96137020171951,4.51085950651685,"High","Other","N",0.86
"FFF","A-Level","40-50%","0-35",1,"Fail",7.38336814699238,4.11087386417331,"High","Other","N",0.33
"CCC","HE Qual","40-50%","0-35",0,"Pass",7.82524529143177,4.11087386417331,"High","Other","N",0.47
"GGG","Lower","20-30%","0-35",0,"Pass",6.63463335786169,3.43398720448515,"Medium","South Region","N",0.07
"BBB","A-Level","30-40%","0-35",0,"Pass",7.19518732017871,4.11087386417331,"High","South West Region","Y",0.7985
"CCC","HE Qual","90-100%","0-35",0,NA,6.57228254269401,4.11087386417331,"Medium","Other","N",1.06
"FFF","Lower","50-60%","0-35",1,"Fail",7.34536484041687,5.19849703126583,"High","Other","N",0.77
"DDD","A-Level","0-10%","0-35",2,"Fail",4.92725368515721,4.11087386417331,"Medium","South East Region","N",-1.61
"CCC","HE Qual","60-70%","0-35",0,NA,7.722677516468,4.79579054559674,"High","Other","N",1.314
"GGG","Lower","40-50%","0-35",0,"Pass",8.26204284396694,3.43398720448515,"High","South West Region","N",0.86
"CCC",NA,"90-100%","55<=",0,NA,7.98378106897745,4.66343909411207,"High","South Region","N",1.21
"DDD","A-Level","40-50%","0-35",1,"Fail",6.75576892198425,4.11087386417331,"Medium","North Western Region","N",-0.92
"GGG","Lower","20-30%","0-35",0,"Fail",5.94542060860658,3.43398720448515,"Medium","Other","Y",0.61
"FFF","Lower","30-40%","0-35",1,"Fail",7.15539630189673,4.11087386417331,"High","Other","N",-0.19
"AAA","A-Level","40-50%","0-35",0,"Pass",6.06378520868761,4.11087386417331,"Medium","South West Region","N",-0.6775
"AAA","A-Level","50-60%","0-35",0,"Pass",7.67740043051481,4.11087386417331,"High","South East Region","N",0.26
"BBB","A-Level","30-40%","0-35",0,"Pass",8.68389336730723,4.11087386417331,"High","North Region","N",0.41
"BBB","Lower","60-70%","0-35",0,"Pass",7.07326971745971,4.79579054559674,"High","South West Region","N",0.35
"FFF","A-Level","60-70%","0-35",0,"Fail",7.0335064842877,4.11087386417331,"High","South Region","N",0.874
"GGG","A-Level","30-40%","0-35",0,"Pass",6.43133108193348,3.43398720448515,"Medium","London Region","N",0.47
"AAA","Lower","50-60%","0-35",0,"Pass",6.94215670569947,4.11087386417331,"High","West Midlands Region","N",-0.73
"BBB","A-Level","40-50%","0-35",0,"Pass",6.08449941307517,4.11087386417331,"Medium","South Region","N",-0.799
"DDD","HE Qual","30-40%","0-35",2,"Fail",5.51745289646471,4.51085950651685,"Medium","Other","N",-0.52
"DDD","A-Level","50-60%","0-35",3,"Fail",6.14203740558736,4.11087386417331,"Medium","South East Region","Y",0.26
"DDD","Lower","80-90%","0-35",2,"Pass",5.8636311755981,4.11087386417331,"Medium","Other","N",-0.3
"FFF","A-Level","30-40%","0-35",0,NA,8.3240937614504,4.11087386417331,"High","South East Region","N",0.96
"DDD","A-Level","20-30%","0-35",0,"Pass",6.30078579466324,4.51085950651685,"Medium","South West Region","N",0.5
"DDD","A-Level","60-70%","0-35",1,"Fail",6.05443934626937,4.11087386417331,"Medium","South East Region","Y",0.42
"BBB","A-Level","0-10%","0-35",2,"Pass",6.56103066589657,4.79579054559674,"Medium","Other","N",0.8
"BBB","A-Level","70-80%","0-35",0,"Fail",5.97126183979046,4.79579054559674,"Medium","Other","Y",0.69
"DDD","Lower","30-40%","0-35",0,"Fail",5.36597601502185,4.11087386417331,"Medium","Other","N",-0.97
"BBB","A-Level","50-60%","0-35",0,"Pass",5.29330482472449,4.11087386417331,"Medium","London Region","N",0.16
"GGG","Lower","70-80%","0-35",0,"Fail",4.35670882668959,3.43398720448515,"Medium","Other","N",0.21
"EEE","A-Level","50-60%","0-35",0,"Pass",7.50273821075485,4.11087386417331,"High","South Region","N",0.43
"EEE","Lower","0-10%","0-35",0,"Pass",8.11939858961229,3.43398720448515,"High","Wales","N",0.22
"CCC","A-Level","90-100%","0-35",0,"Pass",8.13534694890671,3.43398720448515,"High","South West Region","N",0.76
"FFF","A-Level","80-90%","0-35",0,"Pass",7.65349490966125,4.11087386417331,"High","Wales","N",0.78
"FFF","A-Level","20-30%","0-35",0,"Fail",6.40191719672719,4.11087386417331,"Medium","Wales","N",0.53
"BBB","Lower","30-40%","0-35",0,"Fail",2.99573227355399,4.11087386417331,"Low","Other","N",0.03
"DDD","A-Level","90-100%","0-35",0,"Fail",0,4.11087386417331,"Low","North Western Region","N",-3.25
"FFF","A-Level","30-40%","0-35",0,"Pass",7.70345904786717,4.11087386417331,"High","South West Region","N",0.58
"FFF","Lower","30-40%","0-35",0,"Pass",7.67878899819915,4.79579054559674,"High","North Western Region","N",-0.13
"FFF","HE Qual","30-40%","0-35",0,"Pass",7.64873978895624,4.79579054559674,"High","Other","N",0.63
"BBB","HE Qual","80-90%","0-35",1,"Pass",6.15485809401642,4.79579054559674,"Medium","Other","N",0.53
"CCC","HE Qual","20-30%","0-35",0,NA,6.78671695060508,3.93182563272433,"Medium","London Region","N",1.26
"AAA","A-Level","80-90%","0-35",0,"Pass",7.80220931624712,4.11087386417331,"High","Wales","N",-0.11
"BBB","A-Level","60-70%","0-35",0,"Fail",4.55387689160054,4.11087386417331,"Medium","Other","N",0.34
"BBB","A-Level","30-40%","0-35",0,"Fail",0,4.11087386417331,"Low","Other","N",0.3
"BBB","A-Level","90-100%","0-35",0,"Pass",7.63433723562832,4.79579054559674,"High","Wales","N",0.32
"DDD","Lower","0-10%","0-35",0,"Fail",5.10594547390058,4.11087386417331,"Medium","West Midlands Region","N",-0.02
"BBB","Lower","50-60%","0-35",0,NA,6.07073772800249,4.79579054559674,"Medium","Other","N",0.58
"DDD","Lower","0-10%","0-35",0,"Fail",6.44730586254121,4.79579054559674,"Medium","North Western Region","N",-0.27
"FFF","A-Level","80-90%","0-35",1,"Pass",7.47420480649612,4.79579054559674,"High","Other","N",0.37
"DDD","HE Qual","30-40%","55<=",0,NA,7.53743003658651,4.11087386417331,"High","Wales","N",1.06
"DDD","Lower","20-30%","0-35",1,"Pass",6.55819780281227,4.11087386417331,"Medium","Other","N",0.06
"DDD","A-Level","0-10%","0-35",0,"Pass",6.37161184723186,4.11087386417331,"Medium","South East Region","N",0.04
"CCC","A-Level","30-40%","0-35",0,"Pass",6.14418563412565,3.43398720448515,"Medium","Other","N",-0.09
"FFF","Lower","0-10%","0-35",0,NA,7.80628928926703,4.79579054559674,"High","North Western Region","N",0.92
"DDD","HE Qual","70-80%","0-35",0,"Fail",6.02102334934953,4.11087386417331,"Medium","Other","N",0.57
"GGG","Lower","0-10%","0-35",0,"Pass",6.87316383421252,3.43398720448515,"High","West Midlands Region","Y",0.44
"FFF","Lower","20-30%","0-35",0,"Fail",3.98898404656427,4.11087386417331,"Medium","Other","N",-3.25
"BBB","A-Level","40-50%","0-35",0,"Pass",6.91572344863131,4.11087386417331,"High","Yorkshire Region","N",-0.4
"FFF","A-Level","80-90%","0-35",0,"Pass",8.53306654057253,4.51085950651685,"High","Other","N",0.03
"FFF","Lower","80-90%","0-35",0,"Pass",8.31727776622123,4.11087386417331,"High","Other","N",0.45
"EEE","HE Qual","90-100%","0-35",0,"Pass",9.37974553683691,4.11087386417331,"High","Other","N",0.09
"FFF","Lower","30-40%","0-35",1,"Pass",7.95155933115525,4.79579054559674,"High","London Region","N",0.38
"FFF","HE Qual","50-60%","0-35",0,NA,9.27556615689389,4.11087386417331,"High","South Region","N",1.1
"DDD","Lower","40-50%","0-35",0,"Fail",5.30330490805908,5.19849703126583,"Medium","Other","Y",-1.43
"FFF","HE Qual","60-70%","0-35",0,"Pass",7.52994337060159,4.51085950651685,"High","Other","N",0.26
"FFF","A-Level","50-60%","0-35",0,"Pass",8.64716826783798,4.11087386417331,"High","South West Region","N",0.74
"EEE","HE Qual","80-90%","0-35",0,"Pass",7.755767170103,4.11087386417331,"High","Other","N",0.973
"FFF","A-Level","90-100%","0-35",1,"Fail",8.10741881171997,4.11087386417331,"High","Wales","N",0.6
"FFF","Lower","70-80%","0-35",0,"Fail",8.38571682862785,4.11087386417331,"High","South West Region","N",-0.32
"AAA","HE Qual","30-40%","0-35",0,"Pass",7.30854279753919,4.11087386417331,"High","Other","N",-0.11
"AAA","A-Level","90-100%","0-35",0,"Pass",7.26473017792987,4.79579054559674,"High","North Western Region","N",0.09
"DDD","HE Qual","60-70%","0-35",1,"Pass",7.27655640271871,4.11087386417331,"High","Yorkshire Region","N",-0.668
"FFF","A-Level","30-40%","0-35",0,"Pass",8.22282213081366,4.11087386417331,"High","North Western Region","N",0.66
"CCC","HE Qual","60-70%","0-35",0,NA,8.13973227971767,4.11087386417331,"High","Other","N",1.06
"CCC","HE Qual","30-40%","0-35",0,"Fail",7.0475172213573,4.11087386417331,"High","Other","N",0.61
"DDD","A-Level","60-70%","0-35",0,"Pass",7.48436864328613,4.11087386417331,"High","Other","N",-0.54
"AAA","HE Qual","30-40%","0-35",0,"Pass",5.83188247728352,4.11087386417331,"Medium","North Region","N",-0.25
"EEE","A-Level","90-100%","0-35",0,"Pass",5.85220247977447,3.43398720448515,"Medium","Other","N",0.01
"FFF","A-Level","50-60%","0-35",0,"Pass",9.07772284736134,4.11087386417331,"High","South East Region","Y",-0.45
"BBB","Lower","30-40%","0-35",4,"Fail",4.77912349311153,4.11087386417331,"Medium","Wales","N",-0.21
"FFF","Lower","0-10%","0-35",0,"Fail",3.55534806148941,4.11087386417331,"Medium","West Midlands Region","N",-1.34
"BBB","A-Level","20-30%","0-35",0,"Pass",7.51207124583547,4.79579054559674,"High","Other","N",0.32
"DDD","A-Level","70-80%","0-35",0,"Pass",6.2709884318583,4.79579054559674,"Medium","Other","N",-0.83
"BBB","Lower","30-40%","0-35",0,"Pass",6.07534603108868,4.11087386417331,"Medium","West Midlands Region","N",0.29
"FFF","HE Qual","90-100%","0-35",0,"Pass",8.51699317141357,4.11087386417331,"High","South Region","N",0.73
"CCC","HE Qual","30-40%","0-35",0,NA,7.72709448477984,4.51085950651685,"High","Other","N",0.6825
"GGG","Lower","50-60%","0-35",0,"Pass",7.21744343169653,3.43398720448515,"High","Yorkshire Region","N",0.67
"BBB","A-Level","30-40%","0-35",0,"Fail",6.27664348934164,4.51085950651685,"Medium","Other","N",0.66
"FFF","HE Qual","80-90%","0-35",0,"Pass",8.7465573545435,4.11087386417331,"High","West Midlands Region","N",0.29
"DDD","HE Qual","0-10%","0-35",0,NA,6.34388043412633,4.11087386417331,"Medium","South West Region","N",0.79
"FFF","Lower","90-100%","0-35",1,"Pass",8.52158353971753,4.11087386417331,"High","Other","N",0.49
"DDD","A-Level","50-60%","0-35",1,"Fail",2.63905732961526,4.26267987704132,"Low","Other","Y",0.617
"BBB","Lower","0-10%","0-35",0,"Fail",5.17614973257383,4.11087386417331,"Medium","Other","Y",-1.1
"DDD","A-Level","60-70%","0-35",0,"Pass",6.69084227741856,4.11087386417331,"Medium","West Midlands Region","N",0.45
"DDD","A-Level","80-90%","0-35",0,"Pass",6.81783057145415,4.11087386417331,"Medium","South Region","N",0.69
